Adenovirus infection,1958,Netherlands
Adenovirus infection,1958,United Kingdom
Adenovirus infection,1959,China
Adenovirus infection,1960,Russian Federation
Adenovirus infection,1964,Russian Federation
Adenovirus infection,1966,Japan
Adenovirus infection,1969,Sweden
Adenovirus infection,1971,South Africa
Adenovirus infection,1973,Canada
Adenovirus infection,1973,Japan
Adenovirus infection,1973,United Kingdom
Adenovirus infection,1973,United States
Adenovirus infection,1974,Canada
Adenovirus infection,1974,Israel
Adenovirus infection,1974,Japan
Adenovirus infection,1974,Taiwan
Adenovirus infection,1974,United Kingdom
Adenovirus infection,1974,United States
Adenovirus infection,1975,Czech Republic
Adenovirus infection,1975,Guam
Adenovirus infection,1975,Italy
Adenovirus infection,1975,United States
Adenovirus infection,1975,Vietnam
Adenovirus infection,1976,Australia
Adenovirus infection,1976,Brazil
Adenovirus infection,1977,Canada
Adenovirus infection,1977,New Zealand
Adenovirus infection,1977,United States
Adenovirus infection,1978,United Kingdom
Adenovirus infection,1978,United States
Adenovirus infection,1979,Czech Republic
Adenovirus infection,1979,United Kingdom
Adenovirus infection,1979,United States
Adenovirus infection,1980,Czech Republic
Adenovirus infection,1980,United States
Adenovirus infection,1981,Taiwan
Adenovirus infection,1982,Japan
Adenovirus infection,1982,Scotland
Adenovirus infection,1982,United Kingdom
Adenovirus infection,1982,United States
Adenovirus infection,1984,France
Adenovirus infection,1984,United Kingdom
Adenovirus infection,1986,United Kingdom
Adenovirus infection,1986,United States
Adenovirus infection,1987,Denmark
Adenovirus infection,1987,United States
Adenovirus infection,1988,Japan
Adenovirus infection,1988,United States
Adenovirus infection,1989,Australia
Adenovirus infection,1989,France
Adenovirus infection,1989,Philippines
Adenovirus infection,1989,United States
Adenovirus infection,1990,Japan
Adenovirus infection,1990,United Kingdom
Adenovirus infection,1990,United States
Adenovirus infection,1991,China
Adenovirus infection,1991,France
Adenovirus infection,1991,Netherlands
Adenovirus infection,1991,United Kingdom
Adenovirus infection,1991,United States
Adenovirus infection,1992,Australia
Adenovirus infection,1992,Japan
Adenovirus infection,1992,United States
Adenovirus infection,1993,Israel
Adenovirus infection,1993,South Africa
Adenovirus infection,1993,Sweden
Adenovirus infection,1993,United States
Adenovirus infection,1994,Finland
Adenovirus infection,1995,Greece
Adenovirus infection,1995,Japan
Adenovirus infection,1995,United States
Adenovirus infection,1996,Spain
Adenovirus infection,1997,China
Adenovirus infection,1997,Japan
Adenovirus infection,1997,Malaysia
Adenovirus infection,1997,South Africa
Adenovirus infection,1997,United States
Adenovirus infection,1998,Japan
Adenovirus infection,1998,Republic of Korea
Adenovirus infection,1998,United Kingdom
Adenovirus infection,1998,United States
Adenovirus infection,1999,Finland
Adenovirus infection,1999,United States
Adenovirus infection,2000,Albania
Adenovirus infection,2000,Australia
Adenovirus infection,2000,France
Adenovirus infection,2000,Italy
Adenovirus infection,2000,Japan
Adenovirus infection,2000,Republic of Korea
Adenovirus infection,2000,United States
Adenovirus infection,2001,Taiwan
Adenovirus infection,2001,United States
Adenovirus infection,2002,Japan
Adenovirus infection,2002,South Africa
Adenovirus infection,2002,Spain
Adenovirus infection,2002,United Kingdom
Adenovirus infection,2003,France
Adenovirus infection,2003,Japan
Adenovirus infection,2003,Nepal
Adenovirus infection,2003,Pakistan
Adenovirus infection,2003,Portugal
Adenovirus infection,2003,Vietnam
Adenovirus infection,2004,China
Adenovirus infection,2004,France
Adenovirus infection,2004,Germany
Adenovirus infection,2004,Japan
Adenovirus infection,2004,Portugal
Adenovirus infection,2005,Cuba
Adenovirus infection,2005,Japan
Adenovirus infection,2005,Singapore
Adenovirus infection,2005,Slovakia
Adenovirus infection,2005,Spain
Adenovirus infection,2005,Taiwan
Adenovirus infection,2005,United States
Adenovirus infection,2006,Chile
Adenovirus infection,2006,China
Adenovirus infection,2006,Germany
Adenovirus infection,2006,Hungary
Adenovirus infection,2006,Japan
Adenovirus infection,2006,Vietnam
Adenovirus infection,2007,Spain
Adenovirus infection,2007,United States
Adenovirus infection,2008,Germany
Adenovirus infection,2008,Hong Kong
Adenovirus infection,2008,Japan
Adenovirus infection,2008,Spain
Adenovirus infection,2008,Turkey
Adenovirus infection,2008,United States
Adenovirus infection,2009,Canada
Adenovirus infection,2009,France
Adenovirus infection,2009,Mexico
Adenovirus infection,2010,Finland
Adenovirus infection,2010,Germany
Adenovirus infection,2010,India
Adenovirus infection,2010,Israel
Adenovirus infection,2010,Netherlands
Adenovirus infection,2010,Portugal
Adenovirus infection,2010,Republic of Korea
Adenovirus infection,2010,United States
Adenovirus infection,2011,China
Adenovirus infection,2011,Japan
Adenovirus infection,2011,Malaysia
Adenovirus infection,2011,Taiwan
Adenovirus infection,2011,Turkey
Adenovirus infection,2012,China
Adenovirus infection,2012,Turkey
Aeromonas & marine Vibrio infx.,1974,India
Aeromonas & marine Vibrio infx.,1976,Haiti
Aeromonas & marine Vibrio infx.,1981,India
Aeromonas & marine Vibrio infx.,1981,Mexico
Aeromonas & marine Vibrio infx.,1981,Nigeria
Aeromonas & marine Vibrio infx.,1984,United Kingdom
Aeromonas & marine Vibrio infx.,1990,Japan
Aeromonas & marine Vibrio infx.,1990,United States
Aeromonas & marine Vibrio infx.,1992,Brazil
Aeromonas & marine Vibrio infx.,1994,Denmark
Aeromonas & marine Vibrio infx.,1994,Peru
Aeromonas & marine Vibrio infx.,1995,Sweden
Aeromonas & marine Vibrio infx.,1997,Libya
Aeromonas & marine Vibrio infx.,1997,Russian Federation
Aeromonas & marine Vibrio infx.,1998,New Zealand
Aeromonas & marine Vibrio infx.,2001,India
Aeromonas & marine Vibrio infx.,2001,Japan
Aeromonas & marine Vibrio infx.,2002,Australia
Aeromonas & marine Vibrio infx.,2004,Brazil
Aeromonas & marine Vibrio infx.,2005,United States
Aeromonas & marine Vibrio infx.,2006,Netherlands
Aeromonas & marine Vibrio infx.,2006,United States
Aeromonas & marine Vibrio infx.,2007,United States
Aeromonas & marine Vibrio infx.,2009,India
Aeromonas & marine Vibrio infx.,2009,Nepal
Aeromonas & marine Vibrio infx.,2009,Tunisia
Aeromonas & marine Vibrio infx.,2009,United States
Aeromonas & marine Vibrio infx.,2010,United States
Aeromonas & marine Vibrio infx.,2012,India
Aeromonas & marine Vibrio infx.,2012,United States
African tick bite fever,1992,< Worldwide >
African tick bite fever,1992,Botswana
African tick bite fever,1992,United States
African tick bite fever,1997,< Worldwide >
African tick bite fever,1997,France
African tick bite fever,1997,South Africa
African tick bite fever,1998,< Worldwide >
African tick bite fever,1998,Denmark
African tick bite fever,1998,Swaziland
African tick bite fever,1998,United States
African tick bite fever,1999,< Worldwide >
African tick bite fever,1999,Italy
African tick bite fever,1999,South Africa
African tick bite fever,2002,South Africa
African tick bite fever,2002,United States
African tick bite fever,2003,< Worldwide >
African tick bite fever,2003,Netherlands
African tick bite fever,2003,Swaziland
African tick bite fever,2004,< Worldwide >
African tick bite fever,2004,South Africa
African tick bite fever,2005,France
African tick bite fever,2005,South Africa
African tick bite fever,2008,< Worldwide >
African tick bite fever,2008,Israel
African tick bite fever,2008,South Africa
African tick bite fever,2010,< Worldwide >
African tick bite fever,2010,South Africa
AIDS,1989,Italy
AIDS,1990,Russian Federation
AIDS,1992,Republic of Korea
AIDS,1993,Colombia
AIDS,1993,Egypt
AIDS,1993,Scotland
AIDS,1995,Italy
AIDS,1998,China
AIDS,1998,Latvia
AIDS,1998,Libya
AIDS,2004,United States
AIDS,2005,China
AIDS,2005,Taiwan
AIDS,2006,Kazakhstan
AIDS,2007,Italy
AIDS,2007,Kyrgyzstan
AIDS,2007,Peru
AIDS,2008,Mexico
AIDS,2010,India
AIDS,2011,Greece
AIDS,2011,India
AIDS,2011,Italy
AIDS,2011,Scotland
AIDS,2011,United States
Amoeba - free living,1965,Czech Republic
Amoeba - free living,1968,New Zealand
